Round,Date,Time,League,"Home Team",H,A,"Away Team",Status,Venue
1,22/03/2026,11:40,PLW,"MIRA PLW",3,0,"LIPI PLW",PLAYED,"Kareela 2"
1,22/03/2026,11:40,PLW,"NCAR PLW",6,0,"BANG PLW",PLAYED,"Kareela 3"
1,22/03/2026,10:00,PLW,"COMO PLW",2,1,"CSEA PLW",PLAYED,"Harrie Dening 1"
1,22/03/2026,10:00,PLW,"GYME PLW",3,0,"BOSC PLW",PLAYED,"Kareela 2"
2,29/03/2026,15:00,PLW,"LIPI PLW",3,0,"KIRR PLW",PLAYED,"Lilli Pilli Oval"
2,29/03/2026,11:40,PLW,"BOSC PLW",0,2,"MIRA PLW",PLAYED,"Woronora Heights 1"
2,29/03/2026,13:20,PLW,"CSEA PLW",0,5,"GYME PLW",PLAYED,"Box Road 3"
2,29/03/2026,10:00,PLW,"BANG PLW",1,3,"COMO PLW",PLAYED,"Ridge 1"
3,12/04/2026,11:00,PLW,"MIRA PLW",6,0,"CSEA PLW",PLAYED,"Seymour Shaw Stadium"
3,12/04/2026,15:00,PLW,"LIPI PLW",3,0,"BOSC PLW",PLAYED,"Lilli Pilli Oval"
3,12/04/2026,10:00,PLW,"GYME PLW",7,0,"BANG PLW",PLAYED,"Kareela 2"
3,12/04/2026,15:00,PLW,"KIRR PLW",1,4,"NCAR PLW",PLAYED,"Kareela 3"
4,19/04/2026,11:40,PLW,"BOSC PLW",2,1,"KIRR PLW",PLAYED,"Woronora Heights 1"
4,19/04/2026,13:20,PLW,"CSEA PLW",1,6,"LIPI PLW",PLAYED,"Tonkin Oval"
4,19/04/2026,10:00,PLW,"BANG PLW",1,8,"MIRA PLW",PLAYED,"Ridge 1"
4,17/04/2026,19:00,PLW,"NCAR PLW",6,2,"COMO PLW",PLAYED,"North Caringbah Oval"
5,26/04/2026,15:00,PLW,"LIPI PLW",5,2,"BANG PLW",PLAYED,"Lilli Pilli Oval"
5,26/04/2026,11:40,PLW,"BOSC PLW",5,0,"CSEA PLW",PLAYED,"Woronora Heights 1"
5,26/04/2026,10:00,PLW,"GYME PLW",1,1,"NCAR PLW",PLAYED,"Kareela 2"
5,26/04/2026,15:00,PLW,"KIRR PLW",3,0,"COMO PLW",PLAYED,"Kareela 3"
6,10/05/2026,13:20,PLW,"CSEA PLW",0,3,"KIRR PLW",PLAYED,"5 Sports Caringbah"
6,10/05/2026,10:00,PLW,"BANG PLW",0,1,"BOSC PLW",PLAYED,"Ridge 1"
6,10/05/2026,13:20,PLW,"NCAR PLW",2,3,"MIRA PLW",PLAYED,"North Caringbah Oval"
6,10/05/2026,11:40,PLW,"COMO PLW",0,2,"GYME PLW",PLAYED,"Jannali 1"
7,24/05/2026,11:20,PLW,"MIRA PLW",8,0,"COMO PLW",PLAYED,"Seymour Shaw Stadium"
7,24/05/2026,13:20,PLW,"LIPI PLW",0,0,"NCAR PLW",PLAYED,"Greenhills 1"
7,24/05/2026,13:20,PLW,"CSEA PLW",4,3,"BANG PLW",PLAYED,"Solander 2"
7,24/05/2026,11:40,PLW,"KIRR PLW",1,4,"GYME PLW",PLAYED,"Gymea Bay 1"
8,31/05/2026,19:00,PLW,"BANG PLW",1,4,"KIRR PLW",PLAYED,"Kareela 2"
8,04/06/2026,20:00,PLW,"NCAR PLW",3,0,"BOSC PLW",PLAYED,"5 Sports Caringbah"
8,28/05/2026,18:20,PLW,"COMO PLW",0,6,"LIPI PLW",PLAYED,"5 Sports Caringbah"
8,03/06/2026,19:00,PLW,"GYME PLW",2,0,"MIRA PLW",PLAYED,"Seymour Shaw 2"
9,07/06/2026,11:00,PLW,"MIRA PLW",0,0,"KIRR PLW",PLAYED,"Seymour Shaw Stadium"
9,07/06/2026,13:20,PLW,"LIPI PLW",0,3,"GYME PLW",PLAYED,"Glenn McGrath Oval"
9,07/06/2026,11:40,PLW,"BOSC PLW",2,2,"COMO PLW",PLAYED,"Woronora Heights 1"
9,07/06/2026,13:20,PLW,"CSEA PLW",0,9,"NCAR PLW",PLAYED,"5 Sports Caringbah"
10,14/06/2026,11:40,PLW,"LIPI PLW",0,5,"MIRA PLW",PLAYED,"Glenn McGrath Oval"
10,14/06/2026,09:40,PLW,"BANG PLW",1,16,"NCAR PLW",PLAYED,"Ridge 1"
10,14/06/2026,11:20,PLW,"CSEA PLW",3,0,"COMO PLW",PLAYED,"5 Sports Caringbah"
10,16/06/2026,20:00,PLW,"BOSC PLW",-,-,"GYME PLW",PUBLISHED,"Kareela 2"
11,21/06/2026,15:00,PLW,"KIRR PLW",-,-,"LIPI PLW",PUBLISHED,"Kareela 3"
11,21/06/2026,11:00,PLW,"MIRA PLW",-,-,"BOSC PLW",PUBLISHED,"Seymour Shaw Stadium"
11,21/06/2026,10:00,PLW,"GYME PLW",-,-,"CSEA PLW",PUBLISHED,"Kareela 2"
11,21/06/2026,11:40,PLW,"COMO PLW",-,-,"BANG PLW",PUBLISHED,"Jannali 1"
12,28/06/2026,13:20,PLW,"CSEA PLW",-,-,"MIRA PLW",PUBLISHED,"5 Sports Caringbah"
12,28/06/2026,11:40,PLW,"BOSC PLW",-,-,"LIPI PLW",PUBLISHED,"Woronora Heights 1"
12,28/06/2026,10:00,PLW,"BANG PLW",-,-,"GYME PLW",PUBLISHED,"Ridge 1"
12,28/06/2026,13:20,PLW,"NCAR PLW",-,-,"KIRR PLW",PUBLISHED,"North Caringbah Oval"
13,05/07/2026,15:00,PLW,"KIRR PLW",-,-,"BOSC PLW",PUBLISHED,"Kareela 3"
13,05/07/2026,12:30,PLW,"LIPI PLW",-,-,"CSEA PLW",PUBLISHED,"Seymour Shaw Stadium"
13,05/07/2026,10:30,PLW,"MIRA PLW",-,-,"BANG PLW",PUBLISHED,"Seymour Shaw Stadium"
13,05/07/2026,13:20,PLW,"COMO PLW",-,-,"NCAR PLW",PUBLISHED,"Jannali 1"
14,12/07/2026,10:00,PLW,"BANG PLW",-,-,"LIPI PLW",PUBLISHED,"Ridge 1"
14,12/07/2026,13:20,PLW,"CSEA PLW",-,-,"BOSC PLW",PUBLISHED,"Woolooware 1"
14,12/07/2026,13:20,PLW,"NCAR PLW",-,-,"GYME PLW",PUBLISHED,"North Caringbah Oval"
14,12/07/2026,11:40,PLW,"COMO PLW",-,-,"KIRR PLW",PUBLISHED,"Jannali 1"
15,19/07/2026,15:00,PLW,"KIRR PLW",-,-,"CSEA PLW",PUBLISHED,"Kareela 3"
15,19/07/2026,11:40,PLW,"BOSC PLW",-,-,"BANG PLW",PUBLISHED,"Woronora Heights 1"
15,19/07/2026,11:00,PLW,"MIRA PLW",-,-,"NCAR PLW",PUBLISHED,"Seymour Shaw Stadium"
15,19/07/2026,10:00,PLW,"GYME PLW",-,-,"COMO PLW",PUBLISHED,"Kareela 2"
16,26/07/2026,11:40,PLW,"COMO PLW",-,-,"MIRA PLW",PUBLISHED,"Jannali 1"
16,26/07/2026,13:20,PLW,"NCAR PLW",-,-,"LIPI PLW",PUBLISHED,"North Caringbah Oval"
16,26/07/2026,10:00,PLW,"BANG PLW",-,-,"CSEA PLW",PUBLISHED,"Ridge 1"
16,26/07/2026,10:00,PLW,"GYME PLW",-,-,"KIRR PLW",PUBLISHED,"Kareela 2"
17,02/08/2026,15:00,PLW,"KIRR PLW",-,-,"BANG PLW",PUBLISHED,"Kareela 3"
17,02/08/2026,11:40,PLW,"BOSC PLW",-,-,"NCAR PLW",PUBLISHED,"Woronora Heights 1"
17,02/08/2026,10:30,PLW,"LIPI PLW",-,-,"COMO PLW",PUBLISHED,"Seymour Shaw Stadium"
17,02/08/2026,12:30,PLW,"MIRA PLW",-,-,"GYME PLW",PUBLISHED,"Seymour Shaw Stadium"
18,09/08/2026,15:00,PLW,"KIRR PLW",-,-,"MIRA PLW",PUBLISHED,"Kareela 3"
18,09/08/2026,10:00,PLW,"GYME PLW",-,-,"LIPI PLW",PUBLISHED,"Kareela 2"
18,09/08/2026,11:40,PLW,"COMO PLW",-,-,"BOSC PLW",PUBLISHED,"Jannali 1"
18,07/08/2026,19:00,PLW,"NCAR PLW",-,-,"CSEA PLW",PUBLISHED,"North Caringbah Oval"
1,22/03/2026,15:00,PLM,"MART PLM",0,6,"NCAR PLM",PLAYED,"Kareela 3"
1,22/03/2026,15:00,PLM,"LIPI PLM",2,2,"EEAG PLM",PLAYED,"Kareela 2"
1,22/03/2026,18:20,PLM,"GEOR PLM",4,1,"GYME PLM",PLAYED,"Kareela 2"
1,22/03/2026,13:20,PLM,"CSEA PLM",2,1,"COMO PLM",PLAYED,"Harrie Dening 1"
1,22/03/2026,18:20,PLM,"SYLV PLM",0,1,"KIRR PLM",PLAYED,"Kareela 3"
2,28/03/2026,17:10,PLM,"NCAR PLM",5,0,"SYLV PLM",PLAYED,"North Caringbah Oval"
2,28/03/2026,15:00,PLM,"COMO PLM",5,1,"MART PLM",PLAYED,"Jannali 1"
2,29/03/2026,15:00,PLM,"GYME PLM",1,3,"CSEA PLM",PLAYED,"Kareela 2"
2,29/03/2026,15:00,PLM,"EEAG PLM",3,3,"GEOR PLM",PLAYED,"Anzac 3"
2,27/03/2026,20:00,PLM,"KIRR PLM",2,1,"LIPI PLM",PLAYED,"Kareela 3"
3,12/04/2026,15:00,PLM,"MART PLM",0,4,"GYME PLM",PLAYED,"Kingswood Road 1"
3,11/04/2026,17:10,PLM,"NCAR PLM",2,0,"COMO PLM",PLAYED,"North Caringbah Oval"
3,12/04/2026,15:00,PLM,"GEOR PLM",2,4,"KIRR PLM",PLAYED,"Oyster Bay 1"
3,12/04/2026,15:00,PLM,"CSEA PLM",1,1,"EEAG PLM",PLAYED,"5 Sports Caringbah"
3,11/04/2026,17:10,PLM,"SYLV PLM",2,2,"LIPI PLM",PLAYED,"Box Road 1"
4,18/04/2026,15:00,PLM,"COMO PLM",6,0,"SYLV PLM",PLAYED,"Jannali 1"
4,19/04/2026,15:00,PLM,"GYME PLM",1,8,"NCAR PLM",PLAYED,"Kareela 2"
4,18/04/2026,17:10,PLM,"EEAG PLM",10,1,"MART PLM",PLAYED,"Anzac 3"
4,17/04/2026,20:00,PLM,"KIRR PLM",0,2,"CSEA PLM",PLAYED,"Kareela 3"
4,19/04/2026,15:00,PLM,"LIPI PLM",0,3,"GEOR PLM",PLAYED,"Lilli Pilli Oval"
5,26/04/2026,15:00,PLM,"MART PLM",0,5,"KIRR PLM",PLAYED,"Kingswood Road 1"
5,24/04/2026,20:00,PLM,"NCAR PLM",4,1,"EEAG PLM",PLAYED,"Kareela 2"
5,26/04/2026,15:00,PLM,"COMO PLM",2,0,"GYME PLM",PLAYED,"Jannali 1"
5,24/04/2026,20:00,PLM,"CSEA PLM",2,3,"LIPI PLM",PLAYED,"Kareela 3"
5,26/04/2026,17:10,PLM,"SYLV PLM",3,2,"GEOR PLM",PLAYED,"Box Road 1"
6,10/05/2026,15:00,PLM,"GYME PLM",2,0,"SYLV PLM",PLAYED,"Gymea Bay 1"
6,09/05/2026,17:10,PLM,"EEAG PLM",1,0,"COMO PLM",PLAYED,"Anzac 3"
6,08/05/2026,20:00,PLM,"KIRR PLM",5,2,"NCAR PLM",PLAYED,"Kareela 3"
6,10/05/2026,15:00,PLM,"LIPI PLM",1,2,"MART PLM",PLAYED,"Seymour Shaw Stadium"
6,10/05/2026,15:00,PLM,"GEOR PLM",0,0,"CSEA PLM",PLAYED,"Oyster Bay 1"
7,24/05/2026,15:00,PLM,"MART PLM",0,8,"GEOR PLM",PLAYED,"Kingswood Road 1"
7,23/05/2026,18:40,PLM,"NCAR PLM",6,0,"LIPI PLM",PLAYED,"Kareela 3"
7,24/05/2026,15:00,PLM,"COMO PLM",2,1,"KIRR PLM",PLAYED,"Seymour Shaw Stadium"
7,24/05/2026,15:00,PLM,"GYME PLM",0,6,"EEAG PLM",PLAYED,"Gymea Bay 1"
7,23/05/2026,18:40,PLM,"SYLV PLM",0,3,"CSEA PLM",PLAYED,"Kareela 2"
8,03/06/2026,19:00,PLM,"EEAG PLM",1,3,"SYLV PLM",PLAYED,"Anzac 3"
8,28/05/2026,20:00,PLM,"KIRR PLM",2,1,"GYME PLM",PLAYED,"Kareela 3"
8,02/06/2026,20:00,PLM,"LIPI PLM",1,4,"COMO PLM",PLAYED,"5 Sports Caringbah"
8,09/06/2026,18:15,PLM,"GEOR PLM",1,3,"NCAR PLM",PLAYED,"5 Sports Caringbah"
8,03/06/2026,20:00,PLM,"CSEA PLM",4,0,"MART PLM",PLAYED,"5 Sports Caringbah"
9,07/06/2026,15:00,PLM,"MART PLM",0,8,"SYLV PLM",PLAYED,"Kingswood Road 1"
9,06/06/2026,19:10,PLM,"NCAR PLM",2,1,"CSEA PLM",PLAYED,"Kareela 3"
9,07/06/2026,15:00,PLM,"COMO PLM",2,4,"GEOR PLM",PLAYED,"Seymour Shaw Stadium"
9,07/06/2026,15:00,PLM,"GYME PLM",2,2,"LIPI PLM",PLAYED,"Gymea Bay 1"
9,07/06/2026,16:30,PLM,"EEAG PLM",3,1,"KIRR PLM",PLAYED,"Anzac 3"
10,18/06/2026,20:00,PLM,"NCAR PLM",-,-,"MART PLM",PUBLISHED,"5 Sports Caringbah"
10,13/06/2026,17:10,PLM,"EEAG PLM",2,0,"LIPI PLM",PLAYED,"Anzac 3"
10,18/06/2026,20:00,PLM,"GYME PLM",-,-,"GEOR PLM",PUBLISHED,"Kareela 2"
10,17/06/2026,20:00,PLM,"COMO PLM",-,-,"CSEA PLM",PUBLISHED,"5 Sports Caringbah"
10,12/06/2026,20:00,PLM,"KIRR PLM",3,0,"SYLV PLM",PLAYED,"Kareela 3"
11,20/06/2026,17:10,PLM,"SYLV PLM",-,-,"NCAR PLM",PUBLISHED,"Box Road 1"
11,21/06/2026,15:00,PLM,"MART PLM",-,-,"COMO PLM",PUBLISHED,"Kingswood Road 1"
11,21/06/2026,15:00,PLM,"CSEA PLM",-,-,"GYME PLM",PUBLISHED,"5 Sports Caringbah"
11,21/06/2026,15:00,PLM,"GEOR PLM",-,-,"EEAG PLM",PUBLISHED,"Seymour Shaw Stadium"
11,21/06/2026,15:00,PLM,"LIPI PLM",-,-,"KIRR PLM",PUBLISHED,"Lilli Pilli Oval"
12,28/06/2026,15:00,PLM,"GYME PLM",-,-,"MART PLM",PUBLISHED,"Gymea Bay 1"
12,28/06/2026,15:00,PLM,"COMO PLM",-,-,"NCAR PLM","<span class='text-red-600'>POSTPONED</span>","Seymour Shaw Stadium"
12,26/06/2026,20:00,PLM,"KIRR PLM",-,-,"GEOR PLM",PUBLISHED,"Kareela 3"
12,27/06/2026,17:10,PLM,"EEAG PLM",-,-,"CSEA PLM",PUBLISHED,"Anzac 3"
12,27/06/2026,18:40,PLM,"LIPI PLM",-,-,"SYLV PLM",PUBLISHED,"Kareela 3"
13,04/07/2026,17:10,PLM,"SYLV PLM",-,-,"COMO PLM",PUBLISHED,"Box Road 1"
13,04/07/2026,18:40,PLM,"NCAR PLM",-,-,"GYME PLM",PUBLISHED,"Kareela 3"
13,05/07/2026,15:00,PLM,"MART PLM",-,-,"EEAG PLM",PUBLISHED,"Kingswood Road 1"
13,05/07/2026,15:00,PLM,"CSEA PLM",-,-,"KIRR PLM",PUBLISHED,"5 Sports Caringbah"
13,05/07/2026,15:00,PLM,"GEOR PLM",-,-,"LIPI PLM",PUBLISHED,"Oyster Bay 1"
14,10/07/2026,20:00,PLM,"KIRR PLM",-,-,"MART PLM",PUBLISHED,"Kareela 3"
14,11/07/2026,17:10,PLM,"EEAG PLM",-,-,"NCAR PLM",PUBLISHED,"Anzac 3"
14,12/07/2026,15:00,PLM,"GYME PLM",-,-,"COMO PLM",PUBLISHED,"Gymea Bay 1"
14,12/07/2026,15:00,PLM,"LIPI PLM",-,-,"CSEA PLM",PUBLISHED,"Lilli Pilli Oval"
14,12/07/2026,15:00,PLM,"GEOR PLM",-,-,"SYLV PLM",PUBLISHED,"Seymour Shaw Stadium"
15,18/07/2026,17:10,PLM,"SYLV PLM",-,-,"GYME PLM",PUBLISHED,"Box Road 1"
15,19/07/2026,15:00,PLM,"COMO PLM",-,-,"EEAG PLM",PUBLISHED,"Seymour Shaw Stadium"
15,18/07/2026,18:40,PLM,"NCAR PLM",-,-,"KIRR PLM",PUBLISHED,"Kareela 2"
15,19/07/2026,15:00,PLM,"MART PLM",-,-,"LIPI PLM",PUBLISHED,"Kingswood Road 1"
15,19/07/2026,15:00,PLM,"CSEA PLM",-,-,"GEOR PLM",PUBLISHED,"5 Sports Caringbah"
16,26/07/2026,15:00,PLM,"GEOR PLM",-,-,"MART PLM",PUBLISHED,"Oyster Bay 1"
16,26/07/2026,15:00,PLM,"LIPI PLM",-,-,"NCAR PLM",PUBLISHED,"Seymour Shaw Stadium"
16,24/07/2026,20:00,PLM,"KIRR PLM",-,-,"COMO PLM",PUBLISHED,"Kareela 3"
16,26/07/2026,15:00,PLM,"EEAG PLM",-,-,"GYME PLM",PUBLISHED,"Anzac 3"
16,26/07/2026,15:00,PLM,"CSEA PLM",-,-,"SYLV PLM",PUBLISHED,"5 Sports Caringbah"
17,01/08/2026,17:10,PLM,"SYLV PLM",-,-,"EEAG PLM",PUBLISHED,"Box Road 1"
17,02/08/2026,15:00,PLM,"GYME PLM",-,-,"KIRR PLM",PUBLISHED,"Kareela 2"
17,01/08/2026,17:00,PLM,"COMO PLM",-,-,"LIPI PLM",PUBLISHED,"Kareela 2"
17,01/08/2026,18:40,PLM,"NCAR PLM",-,-,"GEOR PLM",PUBLISHED,"Kareela 3"
17,02/08/2026,15:00,PLM,"MART PLM",-,-,"CSEA PLM",PUBLISHED,"Kingswood Road 1"
18,08/08/2026,15:00,PLM,"SYLV PLM",-,-,"MART PLM",PUBLISHED,"Box Road 1"
18,09/08/2026,15:00,PLM,"CSEA PLM",-,-,"NCAR PLM",PUBLISHED,"5 Sports Caringbah"
18,09/08/2026,15:00,PLM,"GEOR PLM",-,-,"COMO PLM",PUBLISHED,"Oyster Bay 1"
18,08/08/2026,18:40,PLM,"LIPI PLM",-,-,"GYME PLM",PUBLISHED,"Kareela 3"
18,07/08/2026,20:00,PLM,"KIRR PLM",-,-,"EEAG PLM",PUBLISHED,"Kareela 3"
1,22/03/2026,13:20,PLR,"MART PLR",0,6,"NCAR PLR",PLAYED,"Kareela 3"
1,22/03/2026,13:20,PLR,"LIPI PLR",0,5,"EEAG PLR",PLAYED,"Kareela 2"
1,22/03/2026,16:40,PLR,"GEOR PLR",1,1,"GYME PLR",PLAYED,"Kareela 2"
1,22/03/2026,11:40,PLR,"CSEA PLR",3,1,"COMO PLR",PLAYED,"Harrie Dening 1"
1,22/03/2026,16:40,PLR,"SYLV PLR",1,4,"KIRR PLR",PLAYED,"Kareela 3"
2,28/03/2026,15:30,PLR,"NCAR PLR",5,0,"SYLV PLR",PLAYED,"North Caringbah Oval"
2,28/03/2026,13:20,PLR,"COMO PLR",2,1,"MART PLR",PLAYED,"Jannali 1"
2,29/03/2026,13:20,PLR,"GYME PLR",1,1,"CSEA PLR",PLAYED,"Kareela 2"
2,29/03/2026,13:20,PLR,"EEAG PLR",2,0,"GEOR PLR",PLAYED,"Anzac 3"
2,27/03/2026,18:15,PLR,"KIRR PLR",1,1,"LIPI PLR",PLAYED,"Kareela 3"
3,12/04/2026,13:20,PLR,"MART PLR",0,4,"GYME PLR",PLAYED,"Kingswood Road 1"
3,11/04/2026,15:30,PLR,"NCAR PLR",0,0,"COMO PLR",PLAYED,"North Caringbah Oval"
3,12/04/2026,13:20,PLR,"GEOR PLR",0,3,"KIRR PLR",PLAYED,"Oyster Bay 1"
3,12/04/2026,13:20,PLR,"CSEA PLR",2,0,"EEAG PLR",PLAYED,"5 Sports Caringbah"
3,11/04/2026,15:30,PLR,"SYLV PLR",0,1,"LIPI PLR",PLAYED,"Box Road 1"
4,18/04/2026,13:20,PLR,"COMO PLR",0,1,"SYLV PLR",PLAYED,"Jannali 1"
4,19/04/2026,13:20,PLR,"GYME PLR",0,2,"NCAR PLR",PLAYED,"Kareela 2"
4,18/04/2026,15:30,PLR,"EEAG PLR",9,1,"MART PLR",PLAYED,"Anzac 3"
4,21/04/2026,20:15,PLR,"KIRR PLR",2,1,"CSEA PLR",PLAYED,"Kareela 3"
4,19/04/2026,13:20,PLR,"LIPI PLR",2,2,"GEOR PLR",PLAYED,"Lilli Pilli Oval"
5,26/04/2026,13:20,PLR,"MART PLR",1,3,"KIRR PLR",PLAYED,"Kingswood Road 1"
5,24/04/2026,18:15,PLR,"NCAR PLR",0,3,"EEAG PLR",PLAYED,"Kareela 2"
5,26/04/2026,13:20,PLR,"COMO PLR",2,3,"GYME PLR",PLAYED,"Jannali 1"
5,24/04/2026,18:15,PLR,"CSEA PLR",5,1,"LIPI PLR",PLAYED,"Kareela 3"
5,26/04/2026,15:30,PLR,"SYLV PLR",1,3,"GEOR PLR",PLAYED,"Box Road 1"
6,10/05/2026,13:20,PLR,"GYME PLR",1,0,"SYLV PLR",PLAYED,"Gymea Bay 1"
6,09/05/2026,15:30,PLR,"EEAG PLR",2,0,"COMO PLR",PLAYED,"Anzac 3"
6,08/05/2026,18:15,PLR,"KIRR PLR",0,7,"NCAR PLR",PLAYED,"Kareela 3"
6,10/05/2026,13:00,PLR,"LIPI PLR",3,0,"MART PLR",PLAYED,"Seymour Shaw Stadium"
6,10/05/2026,13:20,PLR,"GEOR PLR",1,4,"CSEA PLR",PLAYED,"Oyster Bay 1"
7,24/05/2026,13:20,PLR,"MART PLR",1,1,"GEOR PLR",PLAYED,"Kingswood Road 1"
7,23/05/2026,17:00,PLR,"NCAR PLR",3,0,"LIPI PLR",PLAYED,"Kareela 3"
7,24/05/2026,13:00,PLR,"COMO PLR",3,2,"KIRR PLR",PLAYED,"Seymour Shaw Stadium"
7,24/05/2026,13:20,PLR,"GYME PLR",2,6,"EEAG PLR",PLAYED,"Gymea Bay 1"
7,23/05/2026,17:00,PLR,"SYLV PLR",1,0,"CSEA PLR",PLAYED,"Kareela 2"
8,30/05/2026,15:30,PLR,"EEAG PLR",1,1,"SYLV PLR",PLAYED,"Kareela 3"
8,29/05/2026,18:15,PLR,"KIRR PLR",1,2,"GYME PLR",PLAYED,"Kareela 3"
8,31/05/2026,15:40,PLR,"LIPI PLR",3,1,"COMO PLR",PLAYED,"Kareela 2"
8,31/05/2026,17:20,PLR,"GEOR PLR",3,3,"NCAR PLR",PLAYED,"Kareela 2"
8,31/05/2026,13:20,PLR,"CSEA PLR",3,1,"MART PLR",PLAYED,"5 Sports Caringbah"
9,07/06/2026,13:20,PLR,"MART PLR",3,0,"SYLV PLR",PLAYED,"Kingswood Road 1"
9,06/06/2026,17:30,PLR,"NCAR PLR",3,1,"CSEA PLR",PLAYED,"Kareela 3"
9,07/06/2026,13:00,PLR,"COMO PLR",1,0,"GEOR PLR",PLAYED,"Seymour Shaw Stadium"
9,07/06/2026,13:20,PLR,"GYME PLR",1,0,"LIPI PLR",PLAYED,"Gymea Bay 1"
9,07/06/2026,14:50,PLR,"EEAG PLR",2,0,"KIRR PLR",PLAYED,"Anzac 3"
10,13/06/2026,17:00,PLR,"NCAR PLR",2,2,"MART PLR",PLAYED,"Kareela 3"
10,13/06/2026,15:30,PLR,"EEAG PLR",2,1,"LIPI PLR",PLAYED,"Anzac 3"
10,18/06/2026,18:15,PLR,"GYME PLR",-,-,"GEOR PLR",PUBLISHED,"Kareela 2"
10,14/06/2026,09:00,PLR,"COMO PLR",2,2,"CSEA PLR",PLAYED,"Seymour Shaw Stadium"
10,12/06/2026,18:15,PLR,"KIRR PLR",2,2,"SYLV PLR",PLAYED,"Kareela 3"
11,20/06/2026,15:30,PLR,"SYLV PLR",-,-,"NCAR PLR",PUBLISHED,"Box Road 1"
11,21/06/2026,13:20,PLR,"MART PLR",-,-,"COMO PLR",PUBLISHED,"Kingswood Road 1"
11,21/06/2026,13:20,PLR,"CSEA PLR",-,-,"GYME PLR",PUBLISHED,"5 Sports Caringbah"
11,21/06/2026,13:00,PLR,"GEOR PLR",-,-,"EEAG PLR",PUBLISHED,"Seymour Shaw Stadium"
11,21/06/2026,13:20,PLR,"LIPI PLR",-,-,"KIRR PLR",PUBLISHED,"Lilli Pilli Oval"
12,28/06/2026,13:20,PLR,"GYME PLR",-,-,"MART PLR",PUBLISHED,"Gymea Bay 1"
12,28/06/2026,13:00,PLR,"COMO PLR",-,-,"NCAR PLR",PUBLISHED,"Seymour Shaw Stadium"
12,26/06/2026,18:15,PLR,"KIRR PLR",-,-,"GEOR PLR",PUBLISHED,"Kareela 3"
12,27/06/2026,15:30,PLR,"EEAG PLR",-,-,"CSEA PLR",PUBLISHED,"Anzac 3"
12,27/06/2026,17:00,PLR,"LIPI PLR",-,-,"SYLV PLR",PUBLISHED,"Kareela 3"
13,04/07/2026,15:30,PLR,"SYLV PLR",-,-,"COMO PLR",PUBLISHED,"Box Road 1"
13,04/07/2026,17:00,PLR,"NCAR PLR",-,-,"GYME PLR",PUBLISHED,"Kareela 3"
13,05/07/2026,13:20,PLR,"MART PLR",-,-,"EEAG PLR",PUBLISHED,"Kingswood Road 1"
13,05/07/2026,13:20,PLR,"CSEA PLR",-,-,"KIRR PLR",PUBLISHED,"5 Sports Caringbah"
13,05/07/2026,13:20,PLR,"GEOR PLR",-,-,"LIPI PLR",PUBLISHED,"Oyster Bay 1"
14,10/07/2026,18:15,PLR,"KIRR PLR",-,-,"MART PLR",PUBLISHED,"Kareela 3"
14,11/07/2026,15:30,PLR,"EEAG PLR",-,-,"NCAR PLR",PUBLISHED,"Anzac 3"
14,12/07/2026,13:20,PLR,"GYME PLR",-,-,"COMO PLR",PUBLISHED,"Gymea Bay 1"
14,12/07/2026,13:20,PLR,"LIPI PLR",-,-,"CSEA PLR",PUBLISHED,"Lilli Pilli Oval"
14,12/07/2026,13:00,PLR,"GEOR PLR",-,-,"SYLV PLR",PUBLISHED,"Seymour Shaw Stadium"
15,18/07/2026,15:30,PLR,"SYLV PLR",-,-,"GYME PLR",PUBLISHED,"Box Road 1"
15,19/07/2026,13:00,PLR,"COMO PLR",-,-,"EEAG PLR",PUBLISHED,"Seymour Shaw Stadium"
15,18/07/2026,17:00,PLR,"NCAR PLR",-,-,"KIRR PLR",PUBLISHED,"Kareela 2"
15,19/07/2026,13:20,PLR,"MART PLR",-,-,"LIPI PLR",PUBLISHED,"Kingswood Road 1"
15,19/07/2026,13:20,PLR,"CSEA PLR",-,-,"GEOR PLR",PUBLISHED,"5 Sports Caringbah"
16,26/07/2026,13:20,PLR,"GEOR PLR",-,-,"MART PLR",PUBLISHED,"Oyster Bay 1"
16,26/07/2026,13:00,PLR,"LIPI PLR",-,-,"NCAR PLR",PUBLISHED,"Seymour Shaw Stadium"
16,24/07/2026,18:15,PLR,"KIRR PLR",-,-,"COMO PLR",PUBLISHED,"Kareela 3"
16,26/07/2026,13:20,PLR,"EEAG PLR",-,-,"GYME PLR",PUBLISHED,"Anzac 3"
16,26/07/2026,13:20,PLR,"CSEA PLR",-,-,"SYLV PLR",PUBLISHED,"5 Sports Caringbah"
17,01/08/2026,15:30,PLR,"SYLV PLR",-,-,"EEAG PLR",PUBLISHED,"Box Road 1"
17,02/08/2026,13:20,PLR,"GYME PLR",-,-,"KIRR PLR",PUBLISHED,"Kareela 2"
17,01/08/2026,18:40,PLR,"COMO PLR",-,-,"LIPI PLR",PUBLISHED,"Kareela 2"
17,01/08/2026,17:00,PLR,"NCAR PLR",-,-,"GEOR PLR",PUBLISHED,"Kareela 3"
17,02/08/2026,13:20,PLR,"MART PLR",-,-,"CSEA PLR",PUBLISHED,"Kingswood Road 1"
18,08/08/2026,13:20,PLR,"SYLV PLR",-,-,"MART PLR",PUBLISHED,"Box Road 1"
